"No.","Time","Source","Destination","Protocol","Length","Info"
"1509","14:48:11.803298234","10.0.0.6","10.0.0.5","TCP","58","12345  >  22806 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1510","14:48:11.847980849","10.0.0.3","10.0.0.6","TCP","554","37447  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1511","14:48:11.848019678","10.0.0.6","10.0.0.3","TCP","58","12345  >  37447 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1512","14:48:11.882991877","10.0.0.6","10.0.0.5","TCP","58","[TCP Retransmission] 12345  >  10828 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1513","14:48:11.882995185","10.0.0.6","10.0.0.4","TCP","58","[TCP Retransmission] 12345  >  51756 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1514","14:48:11.883025332","10.0.0.5","10.0.0.6","TCP","54","10828  >  12345 [RST] Seq=1 Win=0 Len=0"
"1515","14:48:11.883027694","10.0.0.4","10.0.0.6","TCP","54","51756  >  12345 [RST] Seq=1 Win=0 Len=0"
"1516","14:48:11.946997427","10.0.0.6","10.0.0.3","TCP","58","[TCP Retransmission] 12345  >  25467 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1517","14:48:11.947028551","10.0.0.3","10.0.0.6","TCP","54","25467  >  12345 [RST] Seq=1 Win=0 Len=0"
"1518","14:48:12.263215058","10.0.0.4","10.0.0.6","TCP","554","56819  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1519","14:48:12.263252947","10.0.0.6","10.0.0.4","TCP","58","12345  >  56819 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1520","14:48:12.264425632","10.0.0.5","10.0.0.6","TCP","554","4596  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1521","14:48:12.264452625","10.0.0.6","10.0.0.5","TCP","58","12345  >  4596 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1522","14:48:12.311977419","10.0.0.3","10.0.0.6","TCP","554","10782  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1523","14:48:12.312012065","10.0.0.6","10.0.0.3","TCP","58","12345  >  10782 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1524","14:48:12.362979892","10.0.0.6","10.0.0.4","TCP","58","[TCP Retransmission] 12345  >  34532 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1525","14:48:12.363003302","10.0.0.4","10.0.0.6","TCP","54","34532  >  12345 [RST] Seq=1 Win=0 Len=0"
"1526","14:48:12.363254815","10.0.0.6","10.0.0.5","TCP","58","[TCP Retransmission] 12345  >  44010 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1527","14:48:12.363274240","10.0.0.5","10.0.0.6","TCP","54","44010  >  12345 [RST] Seq=1 Win=0 Len=0"
"1528","14:48:12.394985401","10.0.0.6","10.0.0.3","TCP","58","[TCP Retransmission] 12345  >  2088 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1529","14:48:12.395011928","10.0.0.3","10.0.0.6","TCP","54","2088  >  12345 [RST] Seq=1 Win=0 Len=0"
"1530","14:48:12.677272069","10.0.0.1","10.0.0.6","TCP","70","43206  >  12345 [PSH, ACK] Seq=526 Ack=496 Win=83 Len=4 TSval=4205256587 TSecr=3085449756"
"1531","14:48:12.677303178","10.0.0.6","10.0.0.1","TCP","66","12345  >  43206 [ACK] Seq=496 Ack=530 Win=85 Len=0 TSval=3085451986 TSecr=4205256587"
"1532","14:48:12.677324591","10.0.0.1","10.0.0.6","TCP","70","43206  >  12345 [PSH, ACK] Seq=530 Ack=496 Win=83 Len=4 TSval=4205256587 TSecr=3085451986"
"1533","14:48:12.677331897","10.0.0.6","10.0.0.1","TCP","66","12345  >  43206 [ACK] Seq=496 Ack=534 Win=85 Len=0 TSval=3085451986 TSecr=4205256587"
"1534","14:48:12.677341378","10.0.0.1","10.0.0.6","TCP","67","43206  >  12345 [PSH, ACK] Seq=534 Ack=496 Win=83 Len=1 TSval=4205256587 TSecr=3085451986"
"1535","14:48:12.677346460","10.0.0.6","10.0.0.1","TCP","66","12345  >  43206 [ACK] Seq=496 Ack=535 Win=85 Len=0 TSval=3085451986 TSecr=4205256587"
"1536","14:48:12.677354206","10.0.0.1","10.0.0.6","TCP","92","43206  >  12345 [PSH, ACK] Seq=535 Ack=496 Win=83 Len=26 TSval=4205256587 TSecr=3085451986"
"1537","14:48:12.677358937","10.0.0.6","10.0.0.1","TCP","66","12345  >  43206 [ACK] Seq=496 Ack=561 Win=85 Len=0 TSval=3085451986 TSecr=4205256587"
"1538","14:48:12.683533449","10.0.0.6","10.0.0.2","TCP","70","12345  >  51128 [PSH, ACK] Seq=526 Ack=496 Win=85 Len=4 TSval=2581382216 TSecr=4177369638"
"1539","14:48:12.683563937","10.0.0.2","10.0.0.6","TCP","66","51128  >  12345 [ACK] Seq=496 Ack=530 Win=83 Len=0 TSval=4177371874 TSecr=2581382216"
"1540","14:48:12.683582249","10.0.0.6","10.0.0.2","TCP","70","12345  >  51128 [PSH, ACK] Seq=530 Ack=496 Win=85 Len=4 TSval=2581382216 TSecr=4177371874"
"1541","14:48:12.683589307","10.0.0.2","10.0.0.6","TCP","66","51128  >  12345 [ACK] Seq=496 Ack=534 Win=83 Len=0 TSval=4177371874 TSecr=2581382216"
"1542","14:48:12.683597679","10.0.0.6","10.0.0.2","TCP","67","12345  >  51128 [PSH, ACK] Seq=534 Ack=496 Win=85 Len=1 TSval=2581382216 TSecr=4177371874"
"1543","14:48:12.683603086","10.0.0.2","10.0.0.6","TCP","66","51128  >  12345 [ACK] Seq=496 Ack=535 Win=83 Len=0 TSval=4177371874 TSecr=2581382216"
"1544","14:48:12.683610486","10.0.0.6","10.0.0.2","TCP","92","12345  >  51128 [PSH, ACK] Seq=535 Ack=496 Win=85 Len=26 TSval=2581382216 TSecr=4177371874"
"1545","14:48:12.683615598","10.0.0.2","10.0.0.6","TCP","66","51128  >  12345 [ACK] Seq=496 Ack=561 Win=83 Len=0 TSval=4177371874 TSecr=2581382216"
"1546","14:48:12.727222701","10.0.0.4","10.0.0.6","TCP","554","36536  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1547","14:48:12.727261214","10.0.0.6","10.0.0.4","TCP","58","12345  >  36536 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
"1548","14:48:12.728424405","10.0.0.5","10.0.0.6","TCP","554","40500  >  12345 [SYN] Seq=0 Win=512 Len=500"
"1549","14:48:12.728449961","10.0.0.6","10.0.0.5","TCP","58","12345  >  40500 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460"
